model,term,coef,std_error,p_value,ci_low,ci_high,stars
M4 ROI,C(release_year)[T.1986],-22.931112,80.220524,0.774992,-180.16045,134.298226,
M4 ROI,C(release_year)[T.1987],-26.442984,80.166251,0.741512,-183.565948,130.679981,
M4 ROI,C(release_year)[T.1988],-25.995601,80.158674,0.74571,-183.103715,131.112513,
M4 ROI,C(release_year)[T.1989],-26.52376,80.144387,0.740682,-183.603872,130.556352,
M4 ROI,C(release_year)[T.1990],-22.001155,80.18197,0.783785,-179.154929,135.152619,
M4 ROI,C(release_year)[T.1991],-25.268583,80.147456,0.752552,-182.354711,131.817545,
M4 ROI,C(release_year)[T.1992],-24.496627,80.149587,0.759882,-181.586932,132.593678,
M4 ROI,C(release_year)[T.1993],-24.891422,80.149645,0.756134,-181.981841,132.198996,
M4 ROI,C(release_year)[T.1994],-24.937588,80.146219,0.755686,-182.021291,132.146115,
M4 ROI,C(release_year)[T.1995],-25.701465,80.141167,0.748436,-182.775265,131.372336,
